IPNAME,IPADDRESS,MAC,OWNER,PRIMARYUSER,GROUP
anaka.icl.utk.edu,160.36.131.181,00:1A:4B:06:8D:62,luszczek,luszczek,icl
animal.icl.utk.edu,160.36.131.117,00:15:17:FD:3B:38,luszczek,luszczek,icl
apolloprinter.icl.utk.edu,160.36.131.187,30:05:5C:9D:EA:AF,luszczek,luszczek,icl
appletv-conf.icl.utk.edu,160.36.131.162,D8:A2:5E:7A:24:B8,luszczek,luszczek,icl
ash.icl.utk.edu,160.36.131.183,00:26:B9:56:35:4C,luszczek,luszczek,icl
ash2.icl.utk.edu,160.36.131.221,84:2B:2B:FE:25:5D,luszczek,luszczek,icl
astro.icl.utk.edu,160.36.131.149,00:04:4B:25:C1:23,luszczek,luszczek,icl
atreides.icl.utk.edu,160.36.131.223,00:22:19:20:F5:B3,luszczek,luszczek,icl
banzai.icl.utk.edu,160.36.131.7,00:1E:4F:C9:8C:8A,gragghia,gragghia,
battlecat0.icl.utk.edu,160.36.131.119,00:13:72:91:52:B5,luszczek,luszczek,icl
battlecat1.icl.utk.edu,160.36.131.172,00:19:B9:05:B9:A2,luszczek,luszczek,icl
battlecat2.icl.utk.edu,160.36.131.171,00:19:B9:05:C6:81,luszczek,luszczek,icl
battlecat3.icl.utk.edu,160.36.131.170,00:19:B9:06:FB:1D,luszczek,luszczek,icl
battlecat4.icl.utk.edu,160.36.131.169,00:19:B9:05:C6:A4,luszczek,luszczek,icl
battlecat5.icl.utk.edu,160.36.131.168,00:19:B9:05:C6:71,luszczek,luszczek,icl
battlecat6.icl.utk.edu,160.36.131.167,00:19:B9:05:C7:31,luszczek,luszczek,icl
battlecat7.icl.utk.edu,160.36.131.166,00:19:B9:06:FB:93,luszczek,luszczek,icl
battlecat8.icl.utk.edu,160.36.131.165,00:19:B9:06:FB:56,luszczek,luszczek,icl
beaker.icl.utk.edu,160.36.131.144,00:03:BA:15:03:87,luszczek,luszczek,icl
bluegrass.icl.utk.edu,160.36.131.126,00:1A:64:46:C8:58,luszczek,luszczek,icl
brutus.icl.utk.edu,160.36.131.164,00:04:23:D6:AB:F4,luszczek,luszczek,icl
bunsen.icl.utk.edu,160.36.131.111,00:1E:67:51:00:FE,luszczek,luszczek,icl
cl203a.icl.utk.edu,160.36.131.15,00:1D:09:25:69:9D,luszczek,luszczek,icl
cl203k-p.icl.utk.edu,160.36.131.190,00:30:C1:8A:8E:11,luszczek,luszczek,icl
cl203m.icl.utk.edu,160.36.131.189,00:14:22:5A:74:F1,luszczek,luszczek,icl
cl203p.icl.utk.edu,160.36.131.8,00:80:91:6B:EF:0C,luszczek,luszczek,icl
cl233.icl.utk.edu,160.36.131.188,00:30:C1:61:46:96,luszczek,luszczek,icl
cl234proj.icl.utk.edu,160.36.131.216,64:EB:8C:C2:FF:F8,luszczek,luszczek,icl
cl304.icl.utk.edu,160.36.131.185,00:1A:4B:25:5A:EB,luszczek,luszczek,icl
cl305d.icl.utk.edu,160.36.131.107,00:1D:09:21:13:1B,luszczek,luszczek,icl
cl306d.icl.utk.edu,160.36.131.214,00:0E:0C:A1:CE:C5,luszczek,luszczek,icl
cl307c.icl.utk.edu,160.36.131.186,00:1D:09:25:D4:7B,luszczek,luszczek,icl
cl308p.icl.utk.edu,160.36.131.112,00:10:83:A1:40:87,luszczek,luszczek,icl
cl309a.icl.utk.edu,160.36.131.210,00:19:B9:05:C7:41,luszczek,luszczek,icl
cl309p.icl.utk.edu,160.36.131.205,00:01:E6:2D:01:F4,luszczek,luszczek,icl
cl310p.icl.utk.edu,160.36.131.212,00:30:C1:8A:8E:32,luszczek,luszczek,icl
cl313p.icl.utk.edu,160.36.131.118,00:30:C1:AD:EB:22,luszczek,luszczek,icl
cl314.icl.utk.edu,160.36.131.218,00:19:B9:06:FB:D1,luszczek,luszczek,icl
cl315p.icl.utk.edu,160.36.131.116,00:30:C1:AD:DB:F1,luszczek,luszczek,icl
cl318p.icl.utk.edu,160.36.131.206,00:10:83:0C:38:5F,luszczek,luszczek,icl
cl320.icl.utk.edu,160.36.131.220,00:1D:09:25:D4:69,luszczek,luszczek,icl
cl322.icl.utk.edu,160.36.131.219,00:1D:09:25:F2:B2,luszczek,luszczek,icl
cl349a.icl.utk.edu,160.36.131.200,00:22:19:21:0A:20,luszczek,luszczek,icl
cl349b.icl.utk.edu,160.36.131.199,00:13:D3:DC:FF:C1,luszczek,luszczek,icl
cl349c.icl.utk.edu,160.36.131.198,00:22:19:20:F7:24,luszczek,luszczek,icl
cl350b.icl.utk.edu,160.36.131.197,00:1E:E5:2F:76:14,luszczek,luszczek,icl
cl351b.icl.utk.edu,160.36.131.194,00:19:B9:05:C0:DB,luszczek,luszczek,icl
cl351d.icl.utk.edu,160.36.131.192,00:1D:09:21:0E:E7,luszczek,luszczek,icl
cl352a.icl.utk.edu,160.36.131.191,00:1D:09:25:C5:59,luszczek,luszczek,icl
cl352b.icl.utk.edu,160.36.131.204,00:1D:09:21:12:48,luszczek,luszczek,icl
cl352c.icl.utk.edu,160.36.131.211,00:22:19:20:FE:F8,luszczek,luszczek,icl
cl352d.icl.utk.edu,160.36.131.195,00:1D:09:21:12:C1,luszczek,luszczek,icl
cl353a.icl.utk.edu,160.36.131.202,00:1D:09:25:F0:02,luszczek,luszczek,icl
cl353d.icl.utk.edu,160.36.131.201,00:1D:09:25:F0:89,luszczek,luszczek,icl
cumin.icl.utk.edu,160.36.131.125,00:1E:4F:C5:DA:63,luszczek,luszczek,icl
cupid.icl.utk.edu,160.36.131.124,00:1E:4F:2E:23:74,luszczek,luszczek,icl
dancer.icl.utk.edu,160.36.131.215,00:10:18:3D:58:4A,luszczek,luszczek,icl
davinci.icl.utk.edu,160.36.131.123,00:0F:1F:98:E3:C9,luszczek,luszczek,icl
deimos.icl.utk.edu,160.36.131.18,00:1E:67:F9:BA:12,luszczek,luszczek,
disco.icl.utk.edu,160.36.131.161,00:22:19:21:0A:A5,luszczek,luszczek,icl
dongarra-appletv.icl.utk.edu,160.36.131.17,00:16:CB:C4:14:7D,luszczek,luszczek,icl
drteeth.icl.utk.edu,160.36.131.115,00:13:D3:F4:14:B1,luszczek,luszczek,icl
drxk03-pub-v959.ns.utk.edu,160.36.131.3,00:00:00:00:00:00,lchesnu1,lchesnu1,netengineer
drxs03-pub-v959.ns.utk.edu,160.36.131.2,00:00:00:00:00:00,lchesnu1,lchesnu1,ns
drxx03-pub-v959.ns.utk.edu,160.36.131.1,00:00:00:00:00:00,lchesnu1,lchesnu1,netengineer
ds.icl.utk.edu,160.36.131.152,00:11:32:2E:23:15,luszczek,luszczek,icl
earth.icl.utk.edu,160.36.131.175,00:06:5B:FD:84:32,luszczek,luszczek,icl
fike-tc.icl.utk.edu,160.36.131.153,60:33:4B:2F:47:DF,luszczek,luszczek,icl
firefly.icl.utk.edu,160.36.131.193,C8:2A:14:16:12:EA,luszczek,luszczek,icl
floyd.icl.utk.edu,160.36.131.163,00:1C:C0:94:7A:4E,luszczek,luszczek,icl
fozzy.icl.utk.edu,160.36.131.176,00:11:43:EA:D7:41,luszczek,luszczek,icl
genesis.icl.utk.edu,160.36.131.160,BC:AE:C5:54:ED:BD,luszczek,luszczek,icl
gonzo.icl.utk.edu,160.36.131.159,00:30:48:C6:D9:34,luszczek,luszczek,icl
harry.icl.utk.edu,160.36.131.147,00:1E:67:FB:EE:99,luszczek,luszczek,icl
hera.icl.utk.edu,160.36.131.180,00:19:B9:05:C6:D7,luszczek,luszczek,icl
iclconf.icl.utk.edu,160.36.131.222,00:30:AB:1A:D9:BC,luszczek,luszczek,icl
iclconsole.icl.utk.edu,160.36.131.177,00:E0:86:15:C2:16,luszczek,luszczek,icl
iclpdu.icl.utk.edu,160.36.131.158,00:C0:B7:76:ED:56,luszczek,luszczek,icl
iclpdu1.icl.utk.edu,160.36.131.113,00:C0:B7:5E:D1:15,luszczek,luszczek,icl
iclpdu2.icl.utk.edu,160.36.131.157,00:C0:B7:5C:55:79,luszczek,luszczek,icl
iclserial.icl.utk.edu,160.36.131.178,00:E0:86:16:B8:44,luszczek,luszczek,icl
icltape.icl.utk.edu,160.36.131.179,00:E0:9E:08:31:B4,luszczek,luszczek,icl
ig.icl.utk.edu,160.36.131.156,00:E0:81:B9:22:56,luszczek,luszczek,icl
jupiter.icl.utk.edu,160.36.131.120,00:19:B9:E1:25:1D,luszczek,luszczek,icl
kermit.icl.utk.edu,160.36.131.122,00:14:5E:E0:EC:20,luszczek,luszczek,icl
laptop40.icl.utk.edu,160.36.131.208,00:16:D3:33:67:7C,luszczek,luszczek,icl
lips.icl.utk.edu,160.36.131.196,00:1E:67:51:17:E7,luszczek,luszczek,icl
mahogany.icl.utk.edu,160.36.131.184,00:1F:F3:C5:B7:56,luszczek,luszczek,icl
mercury.icl.utk.edu,160.36.131.182,00:24:E8:58:78:FD,luszczek,luszczek,icl
mordor-compile.icl.utk.edu,160.36.131.155,00:30:48:D0:51:52,luszczek,luszczek,icl
mordor8.icl.utk.edu,160.36.131.145,00:30:48:D0:51:48,luszczek,luszczek,icl
mrj.icl.utk.edu,160.36.131.213,00:23:DF:DF:FA:C7,luszczek,luszczek,icl
neptune.icl.utk.edu,160.36.131.108,00:22:19:21:0C:93,luszczek,luszczek,icl
netbook.icl.utk.edu,160.36.131.209,00:25:B3:43:FE:0D,luszczek,luszczek,icl
netlibdev.icl.utk.edu,160.36.131.174,00:06:5B:F1:06:2B,luszczek,luszczek,icl
oak.icl.utk.edu,160.36.131.173,00:11:43:35:2A:C4,luszczek,luszczek,icl
pandaboard.icl.utk.edu,160.36.131.207,2E:AE:0E:62:2C:30,luszczek,luszczek,icl
phobos.icl.utk.edu,160.36.131.19,00:1E:67:F9:B6:75,luszczek,luszczek,
piggy.icl.utk.edu,160.36.131.143,14:DA:E9:08:9A:E3,luszczek,luszczek,icl
pluto.icl.utk.edu,160.36.131.142,00:30:48:FE:7D:FA,luszczek,luszczek,icl
remus.icl.utk.edu,160.36.131.141,00:26:6C:F9:E8:D4,luszczek,luszczek,icl
rizzo.icl.utk.edu,160.36.131.140,00:15:17:A2:66:9A,luszczek,luszczek,icl
rockyprinter.icl.utk.edu,160.36.131.146,30:05:5C:9D:EA:BC,luszczek,luszczek,icl
romulus.icl.utk.edu,160.36.131.139,00:26:6C:F9:E7:E8,luszczek,luszczek,icl
rosebud.icl.utk.edu,160.36.131.138,00:19:B9:05:C6:7C,luszczek,luszczek,icl
rowlf.icl.utk.edu,160.36.131.137,00:25:64:C6:9A:12,luszczek,luszczek,icl
rt.icl.utk.edu,160.36.131.102,00:00:00:00:00:00,luszczek,luszczek,icl
rudi.icl.utk.edu,160.36.131.148,00:04:4B:25:C1:92,luszczek,luszczek,icl
saturn-betavm1.icl.utk.edu,160.36.131.114,00:0C:29:DD:B6:B2,luszczek,luszczek,icl
saturn-vm0.icl.utk.edu,160.36.131.136,00:0C:29:FC:7D:79,luszczek,luszczek,icl
saturn-vm1.icl.utk.edu,160.36.131.135,00:0C:29:A1:11:11,luszczek,luszczek,icl
saturn-vm2.icl.utk.edu,160.36.131.134,00:0C:29:C7:58:DC,luszczek,luszczek,icl
saturn.icl.utk.edu,160.36.131.133,A4:BA:DB:3E:C9:9B,luszczek,luszczek,icl
scooter-puppet.icl.utk.edu,160.36.131.106,00:0C:29:27:5A:29,luszczek,luszczek,icl
scooter-vm1.icl.utk.edu,160.36.131.217,00:0C:29:27:58:41,luszczek,luszczek,icl
scooter-xen.icl.utk.edu,160.36.131.109,00:16:3E:B9:E3:8F,luszczek,luszczek,icl
scooter.icl.utk.edu,160.36.131.132,24:B6:FD:F4:8E:28,luszczek,luszczek,icl
snapple.icl.utk.edu,160.36.131.131,00:17:F2:02:AC:FC,luszczek,luszczek,icl
sol.icl.utk.edu,160.36.131.130,00:19:B9:05:C6:6E,luszczek,luszczek,icl
sweetums.icl.utk.edu,160.36.131.104,38:EA:A7:A3:E1:87,luszczek,luszczek,icl
thog.icl.utk.edu,160.36.131.103,00:25:90:59:AD:4A,luszczek,luszczek,icl
tlee.icl.utk.edu,160.36.131.9,00:10:18:3D:58:02,luszczek,luszczek,icl
tracy.icl.utk.edu,160.36.131.10,00:21:5A:80:C9:96,luszczek,luszczek,icl
tracyc.icl.utk.edu,160.36.131.11,00:00:AA:A8:EF:F2,luszczek,luszczek,icl
tracyt.icl.utk.edu,160.36.131.29,60:33:4B:2F:47:DB,luszczek,luszczek,icl
uranus.icl.utk.edu,160.36.131.12,00:22:19:21:0C:B1,luszczek,luszczek,icl
vcenter.icl.utk.edu,160.36.131.105,00:0C:29:54:7F:E8,luszczek,luszczek,icl
venus.icl.utk.edu,160.36.131.154,90:B1:1C:54:D7:BC,luszczek,luszczek,icl
warewulf-pdu.icl.utk.edu,160.36.131.110,00:C0:B7:CF:6A:6B,luszczek,luszczek,icl
zeus.icl.utk.edu,160.36.131.128,00:21:5E:BF:4A:78,luszczek,luszczek,icl
zoot.icl.utk.edu,160.36.131.127,00:1E:4F:2E:22:A2,luszczek,luszczek,icl

